time,data
8718005.622000122,27929
8718005.630000122,31055
8718005.637000121,29441
8718005.64300012,30258
8718005.648000121,26473
8718005.65600012,27440
8718005.66200012,25901
8718005.669000119,28042
8718005.675000118,30810
8718005.683000118,32402
8718005.689000117,39615
8718005.696000116,29412
8718005.702000115,22769
8718005.709000114,28191
8718005.715000113,28363
8718005.867000114,28289
8718005.873000113,38895
8718005.880000113,38372
8718005.886000112,35983
8718005.894000111,42767
8718005.90100011,35231
8718005.90700011,34391
8718005.91000011,34942
8718005.91800011,33163
8718005.92100011,34095
8718005.92900011,22769
8718005.93400011,22769
8783550.85600011,31224
8783550.86400011,29378
8783550.87200011,41033
8783550.880000109,41899
8783550.887000108,42767
8783550.893000107,35681
8783550.899000106,25510
8783550.906000106,37384
8783551.058000106,22769
8783551.064000105,22769
8783551.071000105,26729
8783551.079000104,27096
8783551.085000103,28570
8783551.091000102,30154
8783551.098000102,22769
8783551.1040001,22769
8783551.1110001,28357
8783551.1170001,34074
8783551.125000099,29034
8783551.131000098,30299
8783551.138000097,22769
8783551.144000096,25027
8783551.151000096,22769
8783551.154000096,22769
8783551.162000095,22769
8783551.170000095,24153
8783551.328000095,34935
8783551.336000094,38823
8783551.343000093,42767
8783551.349000093,31111
8783551.355000092,29189
8783551.362000091,33309
8783551.36800009,31470
8783551.37100009,30846
8783551.37900009,22769
8783551.38400009,22769
8783551.39200009,25854
8783551.39500009,26092
8783551.40500009,25482
8783551.41300009,26064
8783551.41600009,28141
8783551.42400009,30582
8783551.43200009,42767
8783551.440000089,22769
8783551.44300009,22769
8783551.450000089,22769
8783551.458000088,22769
8783551.599000089,22769
8783551.60200009,22769
8783551.610000089,22769
8783551.618000088,22769
8783551.624000087,28408
8783551.631000087,22769
8783551.639000086,22769
8849096.484000087,22769
8849096.492000086,22769
8849096.498000085,22769
8849096.505000085,26743
8849096.511000084,22769
8849096.518000083,22769
8849096.521000084,22769
8849096.529000083,33597
8849096.532000083,22769
8849096.540000083,22769
8914631.540000083,22769
8914631.548000082,23324
8914631.713000081,26375
8914631.71900008,23713
8914631.72600008,26156
8914631.732000079,23594
8914631.738000078,22769
8914631.746000078,22769
8914631.754000077,25293
8914631.762000076,22769
8914631.769000076,23522
8914631.775000075,22769
8914631.778000075,22769
8914631.785000075,26023
8914631.793000074,22769
8914631.801000074,22769
8914631.809000073,22769
8914631.810000073,22769
8914631.818000073,22769
8914631.823000073,22769
8914631.828000074,22769
8914631.834000073,26696
8914631.980000073,22769
8914631.986000072,25009
8914631.993000071,25219
8914631.99900007,23342
8914632.00600007,22769
8914632.012000069,23904
8914632.020000068,25160
8914632.026000068,22769
8980167.026000068,22769
8980167.030000068,22974
8980167.034000069,22769
8980167.042000068,22769
8980167.050000068,22769
8980167.058000067,22769
8980167.065000067,22769
8980167.071000066,22769
8980167.078000065,22769
8980167.086000064,25873
8980167.092000064,29216
8980167.098000063,30279
8980167.105000062,22861
8980167.111000061,24210
8980167.25500006,26324
8980167.26200006,26388
8980167.27000006,26674
8980167.276000058,26483
8980167.28100006,26711
8980167.287000058,29811
9045712.043000057,26782
9045712.051000057,26934
9045712.059000056,26813
9045712.062000057,27298
9045712.067000058,27272
9045712.077000057,32376
9045712.085000057,28025
9045712.093000056,30374
